Vessels,Cranes,ShortestDelay,LongestDelay,MediumDelay,CalculationTimeMs
1,1,0,0,0,0
2,1,0,3,1.5,1
3,1,22,36,31.333333333333332,0
3,2,0,36,15.75,0
4,1,67,97,82,1
4,2,0,97,44.9375,0
5,1,123,173,147.25,3
5,2,8,173,85.3,2
5,3,0,173,57.666666666666664,2
6,1,229,298,260.6666666666667,16
6,2,36,298,161.0875,15
6,3,0,298,111.55555555555556,15
7,1,343,433,386.1190476190476,102
7,2,74,433,246.22738095238094,85
7,3,7,433,174.0626984126984,111
7,4,0,433,132.2,87
8,1,487,634,548.8392857142857,874
8,2,125,634,359.9949404761905,886
8,3,25,634,259.5124007936508,840
8,4,1,634,199.38355654761904,880
8,5,0,634,160.93821428571428,887
9,1,627,806,710.2638888888889,9303
9,2,178,806,473.93882275132273,9045
9,3,44,806,345.95608465608467,8791
9,4,6,806,268.70842427248675,8782
9,5,0,806,218.33234126984127,8770
10,1,753,1022,894.9888888888889,102836
10,2,230,1022,607.9802579365079,100338
10,3,68,1022,451.0634126984127,100171
10,4,14,1022,354.48507605820106,101806
10,5,0,1022,290.50979695767194,99645